buyer_code,city,province_region,regional_seller,lat,lng,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-klgbyxgr,KABUPATEN KLATEN,JAWA TENGAH,East,-7.63064,110.69435,False,0.9,2071000,4450000
GADA-ey00e4,KOTA BIMA,BALI NUSRA,East,-8.476827,118.757616,False,0.9,3539000,14322355
GADA-88rmf2,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.457194,109.252597,False,0.9,2071000,6939250
GADA-oy2roe0d,KABUPATEN BLITAR,JAWA TIMUR,East,-8.08359,112.12004,False,0.9,5128000,8482000
GADA-l2qpqg,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.721456,116.464745,False,0.9,3539000,3929500
GADA-xsak2f,KABUPATEN DELI SERDANG,SUMATERA,West,3.447265,98.876183,False,0.9,4146500,4298000
GADA-5mvzan4n,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.43571,109.26092,False,0.9,2071000,2795500
GADA-xc5hww,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.42187,109.230373,False,0.9,2071000,3396000
GADA-lhqlez,KABUPATEN LOMBOK BARAT,BALI NUSRA,East,-8.530443,116.102215,False,0.9,3539000,4110000
GADA-bctojl,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.103302,112.202635,False,0.9,5128000,7015500
GADA-zxrqvkag,KABUPATEN SERANG,JABODETABEK 1,West,-6.12104,106.36072,False,0.9,7895000,13477000
